,type-id,instance-id,timestamp,value
25379,263251,224285,2010-08-23,0.34
25403,263251,224285,2010-08-24,0.14
25427,263251,224285,2010-08-25,0.1
25451,263251,224285,2010-08-26,0.18
25475,263251,224285,2010-08-27,0.26
25499,263251,224285,2010-08-28,0.24
25523,263251,224285,2010-08-29,0.75
25547,263251,224285,2010-08-30,0.47
25571,263251,224285,2010-08-31,0.64
25595,263251,224285,2010-09-01,0.57
25619,263251,224285,2010-09-02,0.28
25643,263251,224285,2010-09-03,0.2
25667,263251,224285,2010-09-04,0.18
25691,263251,224285,2010-09-05,0.24
25715,263251,224285,2010-09-06,0.31
25739,263251,224285,2010-09-07,0.11
25763,263251,224285,2010-09-08,0.86
25787,263251,224285,2010-09-09,0.95
25811,263251,224285,2010-09-10,0.63
25835,263251,224285,2010-09-11,0.29
25859,263251,224285,2010-09-12,0.18
25883,263251,224285,2010-09-13,0.17
25907,263251,224285,2010-09-14,0.36
25931,263251,224285,2010-09-15,0.17
25955,263251,224285,2010-09-16,0.21
25979,263251,224285,2010-09-17,0.2
26003,263251,224285,2010-09-18,0.26
26027,263251,224285,2010-09-19,0.18
26051,263251,224285,2010-09-20,0.56
26075,263251,224285,2010-09-21,0.26
26099,263251,224285,2010-09-22,0.42
26123,263251,224285,2010-09-23,0.27
26147,263251,224285,2010-09-24,0.25
26171,263251,224285,2010-09-25,0.12
26195,263251,224285,2010-09-26,0.12
26219,263251,224285,2010-09-27,0.1
26243,263251,224285,2010-09-28,0.1
26267,263251,224285,2010-09-29,0.19
26291,263251,224285,2010-09-30,0.15
26315,263251,224285,2010-10-01,0.11
26339,263251,224285,2010-10-02,0.15
26363,263251,224285,2010-10-03,0.35
26387,263251,224285,2010-10-04,0.73
26411,263251,224285,2010-10-05,0.92
26435,263251,224285,2010-10-06,0.6
26459,263251,224285,2010-10-07,0.75
26483,263251,224285,2010-10-08,0.96
26507,263251,224285,2010-10-09,0.61
26531,263251,224285,2010-10-10,0.71
26555,263251,224285,2010-10-11,0.73
26579,263251,224285,2010-10-12,0.34
26603,263251,224285,2010-10-13,0.16
26627,263251,224285,2010-10-14,0.23
26651,263251,224285,2010-10-15,0.48
26675,263251,224285,2010-10-16,0.48
26699,263251,224285,2010-10-17,0.41
26723,263251,224285,2010-10-18,0.41
26747,263251,224285,2010-10-19,0.24
26771,263251,224285,2010-10-20,0.19
26795,263251,224285,2010-10-21,0.27
26819,263251,224285,2010-10-22,0.46
26843,263251,224285,2010-10-23,1.0
26867,263251,224285,2010-10-24,1.0
26891,263251,224285,2010-10-25,0.74
26915,263251,224285,2010-10-26,1.0
26939,263251,224285,2010-10-27,0.59
26963,263251,224285,2010-10-28,0.3
26987,263251,224285,2010-10-29,0.27
27011,263251,224285,2010-10-30,0.47
27035,263251,224285,2010-10-31,0.83
27059,263251,224285,2010-11-01,0.56
27083,263251,224285,2010-11-02,0.39
27107,263251,224285,2010-11-03,0.35
27131,263251,224285,2010-11-04,0.38
27155,263251,224285,2010-11-05,0.43
27179,263251,224285,2010-11-06,0.47
27203,263251,224285,2010-11-07,1.0
27227,263251,224285,2010-11-08,0.9
27251,263251,224285,2010-11-09,0.75
27275,263251,224285,2010-11-10,1.0
27299,263251,224285,2010-11-11,0.83
27323,263251,224285,2010-11-12,0.82
27347,263251,224285,2010-11-13,0.63
27371,263251,224285,2010-11-14,1.0
27395,263251,224285,2010-11-15,0.97
27419,263251,224285,2010-11-16,0.65
27443,263251,224285,2010-11-17,0.56
27467,263251,224285,2010-11-18,0.21
27491,263251,224285,2010-11-19,0.75
